0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
基材,粘合剂,树脂层,模量,树脂,玻璃化,雾度,层压,粘着剂,粗糙度,伸长率,粘接剂,保护膜,厚度,透明性,熔点,聚酰亚胺,硬度,层侧,热塑性
透镜,焦距,物侧,轴区,镜头,光轴,阿贝数,屈光力,凸面,凹面,于光轴,物方,光学,交会点,半径,非球面,曲点,折力,曲率,反曲点
测量,检测器,光刻,误差,校正,不对称性,梯度,容忍度,检查,套刻,偏差,粒子束,主射束,焦点,贡献,函数,散射辐射,射束,差异,曝光
通孔,导电,半导体,管芯,凸块,介电层,结构,衬底,芯片,绝缘层,柱电,布线,集成电路,半导体器件,焊料,齐平,半导体芯片,焊球,金属化,电路板
催化剂,混合物,产物,反应,乙醇,甲醇,反应器,进料,溶剂,异丙醇,丙酮,烷烃,有机溶剂,溶液,二甲苯,正己烷,收率,丙醇,烯烃,水溶液
光学,光束,波长,波导,传播,光栅,反射镜,光源,棱镜,光路,入射光,全内,反射器,入射角,激光,激光器,分束器,将光,偏振,光导
碳原子,芳基,基团,单键,硝基,原子,和式,烯基,地为,化学式,联三苯,环烯,卤素,下式,萘基,烷氧基,苯环,咔唑,杂芳,氰基
玻璃,玻璃制品,铝硅酸盐,钠钙,硅酸盐,盐浴,摩尔,陶瓷,杨氏模量,玻璃板,正长石,钢化,晶相,浮法,制品,厚度,碱金属,雾度,平板玻璃,化学
解码,编码,解码器,编码器,比特流,译码,码字,索引,语法,编码方法,视频,预测,置块,图像编码,比特,残差,图片,序列,块头,文集
像素,数据信号,时段,数据线,电压,时序,驱动,扫描线,驱动器,信号,电路,导通,显示装置,电平,面板,补偿,数据,栅极,灰度,高电平
聚烯烃,热塑性,共聚物,聚乙烯,聚丙烯,弹性体,分子量,聚苯乙烯,聚酯,树脂,乙烯,聚碳酸酯,橡胶,接枝,聚酰胺,苯乙烯,抗冲,均聚物,改性,熔体
模具,成型,成形,工件,熔融,直径,工具,熔池,片材,纤维,形状,磨轮头,压制,加工,工段,激光束,塑性变形,外径,主应力,内径
地址,标识符,标识,指令,处理器,网络,服务器,协议,消息,软件,加密,计算机,服务,硬件,调用,管理,服务网,分组,解密,存储介质
氢原子,通式,氧原子,单键,碳原子,链状,碳数,一价,价烃,基团,化学式,地为,原子,族烃,萘环,苯环,羧基,二价,产酸剂,整数
用户,用户界面,自动,将本车,信息,手势,驾驶员,指令,骨节,命令,图标,乘客,对象,旅行,处理器,按钮,菜单,终端,屏幕,动作
气体,沉积,等离子体,惰性气体,气相,氩气,反应物,气氛,氮气,氢气,载气,一氧化二氮,前体,含钨膜,氧气,氖气,含氧,氦气,氨气,含氢
图像,模型,训练,神经网络,场景,计算机,对象,图像处理,卷积,算法,预测,参数,存储介质,计算所,权重,分类,计算机程序,处理器,信息,数据
动力,发动机,电机,扭矩,离合器,变速器,电动,电动机,传动系统,马达,发电机,车辆,制动器,传动比,栗轮,传动,车轮,转矩,速器,齿轮
官能,水性,官能团,交联剂,丙烯酸酯,聚氨酯,多元醇,涂料,异氰酸酯,丙烯酸,聚醚,环氧,分子量,甲基丙烯酸酯,单体,组分,聚酯,总重量,共聚物,添加剂
半导体,介电层,半导体器件,沟槽,漏极区,外延,电介质,衬底,结构,多晶硅,硅化物,层间,阻挡层,共形,电层,导电,有源,硅化栅,绝缘层,生长
药物,药学,癌症,疾病,赋形剂,病症,药用,激酶,性疾病,免疫性,异构体,溶剂化物,病况,化合物,前药,杂环,炎症,吗啉,对映异构,氧代
流动,排气,气体,流体,出口,液体,入口,腔室,流路,气流,供给,管线,压力,加热器,供应,冷却剂,真空,空气,气动阀,循环
构件,壳体,框架,支架,容纳,凹槽,面向,端部,主体,一体,开口,弧形,凸缘,定位,电路板,铰链,设置,基部,组件,弹性
壳体,弹性,插座,插头,基部,弹簧,端子,本体,线缆,一体,绝缘,导体,后端,端部,容纳,屏蔽,主体,卡扣,电缆,挡部
液晶显示,基板,面板,电极,彩膜,显示装置,竖边,图案,边框,平面图,液晶,区域,像素,条状,柔性,和色,漏光,同层,方向,偏光片
抗体,蛋白质,特异性,样品,试剂盒,试剂,血清,蛋白,抗原,核酸,缓冲液,定量,免疫测定,分析,生物素,微板,血浆,免疫吸附,化学发光,生物
输送机,移动,导轨,运输,枢转,机构,提升机,滑动,轨道,地枢,物品,轴线,货物,容器,施力器,枢转笼,辊带,托架,承平面,活板
声音,扬声器,麦克风,耳机,声学,耳朵,音频,耳道,反波,换能器,时定,听力,声波,助听器,振动,电声,声能,声源,头箍,频率响应
电路,电压,信号,电平,电流,导通,电容器,串联,控制电路,并联,时钟,晶体管,电容,阈值电压,电阻器,电源,低电压,电阻,低电平,高电平
合金,碳化物,合金化,涂层,奥氏体,钢板,热处理,杂质,涂覆,铝合金,镀浴,氧化物,氧化铝,锌合金,粉末,计由,化元素,沉积,钢卷,钛合金
