0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
基材,粘合剂,树脂层,模量,树脂,玻璃化,雾度,层压,粘着剂,粗糙度,伸长率,粘接剂,保护膜,厚度,硬度,层侧,透明性,聚酰亚胺,熔点,热塑性
透镜,焦距,物侧,轴区,光轴,镜头,屈光力,阿贝数,凸面,物方,凹面,光学,于光轴,交会点,非球面,反曲点,半径,曲点,折力,曲率
测量,检测器,光刻,误差,校正,粒子束,不对称性,容忍度,焦点,梯度,射束,检查,主射束,套刻,偏差,散射辐射,贡献,函数,束群,剂量
通孔,导电,半导体,管芯,凸块,介电层,衬底,结构,芯片,绝缘层,柱电,布线,集成电路,焊料,半导体器件,齐平,半导体芯片,焊球,金属化,电路板
催化剂,混合物,产物,乙醇,反应,甲醇,反应器,溶剂,进料,异丙醇,溶液,有机溶剂,丙酮,水溶液,烷烃,收率,丙醇,二甲苯,正己烷,氢氧化钠
光学,光束,波长,波导,光栅,传播,反射镜,光源,棱镜,光路,入射光,全内,入射角,反射器,激光,激光器,分束器,偏振,将光,光导
基团,碳原子,芳基,单键,硝基,原子,和式,地为,烯基,化学式,环烯,联三苯,卤素,下式,烷氧基,萘基,苯环,杂芳,咔唑,氢原子
玻璃,玻璃制品,铝硅酸盐,钠钙,硅酸盐,盐浴,杨氏模量,摩尔,陶瓷,厚度,玻璃板,晶相,钢化,雾度,正长石,制品,浮法,陶瓷制品,平板玻璃,透锂
解码,编码,解码器,编码器,码字,编码方法,索引,比特,比特流,译码,序列,预测,图像编码,罗内克,语法,残差,块头,视频,置块,检错码
像素,数据信号,时段,数据线,电压,驱动,时序,扫描线,驱动器,导通,电路,信号,显示装置,电平,栅极,面板,补偿,驱动电流,高电平,晶体管
聚烯烃,热塑性,共聚物,聚乙烯,聚丙烯,弹性体,分子量,聚苯乙烯,聚酯,树脂,乙烯,聚碳酸酯,橡胶,接枝,聚酰胺,抗冲,苯乙烯,改性,熔体,均聚物
模具,成型,工件,成形,熔融,直径,工具,熔池,片材,纤维,压制,加工,工段,磨轮头,激光束,形状,主应力,塑性变形,内径,外径
地址,标识符,标识,指令,处理器,网络,服务器,协议,消息,软件,加密,硬件,计算机,分组,服务,管理,调用,解密,服务网,计算机程序
氢原子,通式,氧原子,单键,碳原子,碳数,链状,一价,价烃,基团,化学式,地为,原子,族烃,二价,羧基,苯环,萘环,产酸剂,整数
用户,用户界面,自动,驾驶员,乘客,将本车,旅行,手势,信息,指令,命令,车辆,乘员,对象,按钮,处理器,骨节,手动,天气,图标
气体,沉积,等离子体,惰性气体,气相,氩气,反应物,气氛,一氧化二氮,氮气,氢气,载气,前体,含钨膜,氖气,氧气,含氢,含氧,氨气,氦气
模型,图像,训练,神经网络,场景,计算机,对象,图像处理,卷积,存储介质,算法,参数,预测,权重,分类,计算所,计算机程序,处理器,信息,残差
动力,电机,发动机,离合器,扭矩,变速器,电动,电动机,传动系统,马达,发电机,车辆,制动器,传动比,传动,齿轮,车轮,栗轮,速器,转矩
官能,水性,官能团,丙烯酸酯,交联剂,聚氨酯,多元醇,涂料,异氰酸酯,丙烯酸,聚醚,分子量,环氧,单体,甲基丙烯酸酯,组分,共聚物,聚酯,总重量,添加剂
半导体,介电层,半导体器件,沟槽,漏极区,外延,电介质,衬底,结构,层间,多晶硅,阻挡层,硅化物,共形,电层,有源,导电,绝缘层,硅化栅,生长
药物,药学,疾病,癌症,赋形剂,病症,药用,激酶,性疾病,异构体,溶剂化物,免疫性,化合物,病况,杂环,前药,炎症,对映异构,吗啉,氧代
流动,气体,排气,流体,出口,液体,入口,腔室,流路,气流,加热器,压力,供给,管线,供应,真空,冷却剂,空气,气动阀,流量
构件,框架,壳体,支架,容纳,凹槽,面向,端部,主体,开口,一体,弧形,凸缘,定位,电路板,铰链,基部,柔性,设置,弹性
壳体,弹性,插座,插头,弹簧,基部,端子,线缆,导体,一体,绝缘,端部,本体,后端,屏蔽,容纳,电缆,主体,卡扣,外壳
液晶显示,基板,面板,彩膜,电极,显示装置,图案,竖边,边框,平面图,区域,柔性,和色,液晶,条状,漏光,像素,绝缘层,同层,偏光片
抗体,蛋白质,特异性,样品,试剂盒,试剂,核酸,血清,抗原,蛋白,缓冲液,免疫测定,定量,分析,生物素,免疫吸附,微板,化学发光,血浆,生物
输送机,移动,导轨,运输,枢转,提升机,机构,轨道,滑动,物品,地枢,货物,容器,施力器,轴线,托架,活板,辊带,枢转笼,承平面
声音,扬声器,耳机,麦克风,声学,耳朵,音频,耳道,反波,换能器,时定,听力,振动,声波,电声,助听器,头箍,声能,频率响应,声源
电路,电压,电平,信号,电流,电容器,导通,控制电路,串联,并联,时钟,晶体管,电容,阈值电压,电阻器,电源,低电压,电阻,偏置,低电平
合金,合金化,碳化物,奥氏体,钢板,涂层,热处理,杂质,铝合金,镀浴,涂覆,氧化物,锌合金,计由,钢卷,化元素,氧化铝,粉末,马氏体,镀锌
