0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
adhesive,laminate,laminated,peel,modulus,film,exhibit,adhesiveness,hardness,tensile,coating,astm,resin,excellent,haze,elongation,cured,polyethylene,sheet,adhesion
andttl,lens,abbe,imgh,focal,imght,hfov,imaging,fsys,paraxial,radius,aspheric,convex,intl,refractive,aspherical,biconvex,pttl,satisfies,conditional
measurement,deviation,detector,measure,scanner,andmake,examination,acquisition,radiation,metrology,variation,intensity,focus,correction,microcd,lithographic,distribution,inspection,field,targetcd
redistribution,vias,conductive,package,encapsulant,bump,coplanar,dielectric,chip,semiconductor,solder,sidewall,structure,expose,pillar,interposer,underfill,bonding,andconductive,substrate
catalyst,reaction,mixture,distillation,reactor,solvent,ethanol,methanol,molar,unreacted,toluene,presence,purification,alcohol,solution,acetonitrile,sodium,chloride,hydrogenation,hydroxide
reflection,incident,mirror,optical,reflect,light,waveguide,wavelength,incidence,illumination,beam,propagation,collimate,laser,reflective,prism,diffract,diffractive,reflector,emitted
unsubstituted,atom,heterocyclic,aryl,halogen,andar,deuterium,formula,hetero,substituents,silyl,hydrogen,andr,substituted,andx,substituent,arylene,heteroarylene,heteroaryl,alkoxy
glass,compressive,ceramic,liquidus,article,strengthened,soda,knoop,petalite,stress,kpoise,spodumene,young,alkali,disilicate,lime,parakeldyshite,dolzero,alumino,eucryptite
decode,decoder,anddecode,encode,bitstream,encoder,encoded,decoded,decoding,video,code,syntax,andencode,coded,picture,flag,prediction,chroma,decodes,anddecodes
period,pixel,driving,voltage,scan,initialization,compensation,line,driver,signal,grayscale,turned,display,control,subpixels,frame,luminance,data,reference,refresh
copolymer,astm,polypropylene,polyolefin,elastomer,thermoplastic,weight,polyethylene,polymer,ethylene,melt,homopolymer,molecular,polyester,olefin,composition,processability,styrene,polyamide,polydispersity
mold,press,preform,softened,weld,molten,solidified,solidifies,longitudinal,workpiece,preforming,shaped,advancement,sheet,tool,melted,plastic,hollow,roll,ribbon
request,address,access,packet,identifier,protocol,network,policy,instruction,service,internet,executable,server,send,file,message,software,processor,name,client
divalent,alicyclic,atom,hydrocarbon,carbon,valent,monovalent,moiety,general,hydrogen,polymerizable,formula,aliphatic,fluorine,sulfur,labile,octavalent,andm,acyloxy,sulfonium
user,eyelines,mobile,anddisplay,notification,gesture,navigation,menu,recognize,autonomous,displayed,passenger,detected,alert,eyeline,button,situation,manual,vehicle,andresponsive
plasma,deposition,argon,inert,mtorr,precursor,torr,deposit,helium,peald,reactant,vapor,sccm,purge,atomic,silicon,ammonia,chamber,adsorb,ozone
scene,model,image,representation,readable,dimensional,andtrain,andrender,neural,pose,computer,segmentation,transitory,trained,resolution,training,algorithm,andgenerate,texture,coordinate
motor,torque,engine,clutch,speed,powertrain,brake,wheel,vehicle,hybrid,gear,electric,crankshaft,shaft,planetary,axle,combustion,driveline,rotational,drive
aqueous,monomer,acrylic,polymer,polyurethane,isocyanate,composition,polyol,polyether,curable,mixture,dispersant,water,meth,weight,agent,emulsion,alcohol,surfactant,polyfunctional
dielectric,trench,epitaxial,sidewall,isolation,semiconductor,layer,expose,etch,substrate,interlevel,silicide,shallow,structure,spacer,spacers,sigex,polysilicon,drain,finfet
acceptable,excipient,solvate,stereoisomer,pharmaceutical,disease,tautomer,salt,inflammatory,excipients,compoundn,prodrug,disorder,autoimmune,cyclopropyl,kinase,pyridin,need,cardiovascular,oxetan
chamber,inlet,passage,outlet,valve,exhaust,heater,discharge,circulate,manifold,upstream,conduit,downstream,vacuum,pump,nozzle,coolant,tank,flow,orifice
groove,cover,protrusion,protrude,rear,support,housing,bent,member,wall,outward,hinge,bracket,protrudes,accommodate,front,extend,inner,plate,board
connector,plug,mating,housing,cable,spring,contact,receptacle,inserted,electrical,insertion,engage,insulative,mated,assembly,mate,resilient,socket,engaging,conductor
transparent,panel,substrate,electrode,area,overlap,film,orthographic,rectangular,display,andliquid,facing,nwgp,polarizer,thin,euphotic,flexible,crystal,black,hollowed
antibody,analyte,protein,immobilized,antigen,enzyme,immunosorbent,assay,polyclonal,elisa,glycated,lyve,monoclonal,reagent,horseradish,immunoassay,biological,goat,serum,aptamer
conveyor,move,movable,movement,transport,belt,carriage,rotate,roller,mechanism,rack,conveying,unloading,rotates,gripper,grippers,conveyance,endless,rail,telescopic
sound,transducer,acoustic,microphone,speaker,audio,loudspeaker,headphone,hearing,canal,earphone,voice,diaphragm,audible,noise,earpiece,auditory,loud,cpts,cavum
voltage,comparator,switch,signal,circuit,output,resistor,capacitor,clock,input,reset,converter,transistor,analog,inverter,current,control,digital,amplifier,delay
alloy,aluminum,manganese,steel,chromium,titanium,nickel,zinc,aluminium,iron,alloyed,niobium,ceramic,oxide,unavoidable,inevitable,coating,zirconium,austenite,mgzn
