0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
adhesive,laminate,laminated,peel,modulus,film,exhibit,adhesiveness,hardness,tensile,astm,haze,coating,resin,elongation,excellent,cured,sheet,polyethylene,young
lens,andttl,abbe,imgh,focal,imght,imaging,hfov,fsys,paraxial,convex,aspheric,refractive,intl,radius,aspherical,pttl,biconvex,optical,conditional
measurement,detector,deviation,measure,radiation,focus,scanner,metrology,intensity,andmake,inspection,variation,beam,lithographic,microcd,examination,field,distribution,correction,objective
redistribution,vias,conductive,package,encapsulant,bump,coplanar,chip,semiconductor,dielectric,solder,sidewall,structure,expose,pillar,interposer,underfill,andconductive,bonding,substrate
catalyst,reaction,mixture,distillation,reactor,ethanol,solvent,methanol,molar,unreacted,toluene,sodium,solution,acetonitrile,presence,chloride,hydroxide,alcohol,purification,hydrogenation
reflection,incident,mirror,optical,reflect,light,waveguide,wavelength,incidence,illumination,propagation,reflective,beam,collimate,diffract,prism,diffractive,laser,reflector,propagates
unsubstituted,atom,heterocyclic,aryl,halogen,deuterium,andar,formula,hetero,substituents,silyl,hydrogen,substituted,andr,andx,substituent,arylene,heteroarylene,alkoxy,heteroaryl
glass,compressive,ceramic,liquidus,article,strengthened,knoop,soda,petalite,kpoise,stress,young,spodumene,alkali,dolzero,parakeldyshite,lime,disilicate,alumino,strengthening
decode,decoder,anddecode,encode,code,encoder,encoded,decoding,bitstream,decoded,andencode,codeword,coded,video,syntax,prediction,sequence,block,picture,decodes
period,pixel,driving,voltage,scan,initialization,compensation,signal,driver,line,turned,control,grayscale,display,subpixels,reset,frame,reference,data,luminance
copolymer,astm,polypropylene,polyolefin,elastomer,thermoplastic,weight,polyethylene,polymer,ethylene,melt,molecular,homopolymer,polyester,olefin,composition,processability,polyamide,styrene,polydispersity
mold,press,preform,weld,softened,molten,solidified,solidifies,workpiece,longitudinal,preforming,shaped,sheet,advancement,tool,melted,welding,roll,plastic,hollow
request,address,access,packet,identifier,protocol,network,instruction,policy,service,executable,send,message,internet,file,software,server,processor,name,resource
divalent,alicyclic,atom,hydrocarbon,valent,carbon,monovalent,moiety,general,hydrogen,polymerizable,formula,aliphatic,sulfur,fluorine,labile,octavalent,andm,acyloxy,sulfonium
user,eyelines,mobile,anddisplay,autonomous,passenger,navigation,vehicle,recognize,notification,manual,gesture,detected,situation,alert,andresponsive,menu,button,assistance,displayed
plasma,deposition,argon,inert,mtorr,precursor,torr,deposit,helium,peald,reactant,sccm,vapor,purge,atomic,silicon,ammonia,chamber,adsorb,ozone
model,scene,image,representation,readable,neural,computer,andtrain,dimensional,transitory,trained,training,pose,segmentation,andrender,algorithm,resolution,andgenerate,transformation,texture
motor,torque,engine,clutch,speed,powertrain,wheel,brake,gear,vehicle,electric,hybrid,shaft,planetary,crankshaft,axle,combustion,rotational,drive,spur
aqueous,monomer,acrylic,polymer,polyurethane,isocyanate,composition,polyol,polyether,curable,mixture,meth,weight,dispersant,water,agent,emulsion,urethane,polyfunctional,acrylate
dielectric,trench,epitaxial,sidewall,isolation,semiconductor,layer,expose,etch,substrate,interlevel,silicide,spacers,structure,sigex,spacer,shallow,polysilicon,drain,finfet
acceptable,excipient,solvate,stereoisomer,pharmaceutical,disease,tautomer,salt,inflammatory,excipients,prodrug,autoimmune,compoundn,disorder,cyclopropyl,kinase,need,cardiovascular,pyridin,hydrate
chamber,inlet,passage,outlet,valve,heater,exhaust,discharge,manifold,circulate,conduit,vacuum,upstream,downstream,nozzle,pump,flow,coolant,tank,fluid
groove,cover,protrusion,protrude,rear,support,bent,housing,outward,member,wall,bracket,hinge,protrudes,front,extend,accommodate,inner,plate,outer
connector,plug,mating,housing,cable,spring,contact,receptacle,inserted,electrical,insertion,engage,insulative,conductor,assembly,mated,resilient,socket,mate,engaging
transparent,panel,substrate,area,film,overlap,display,electrode,orthographic,polarizer,facing,euphotic,rectangular,thin,flexible,andliquid,nwgp,black,hollowed,crystal
antibody,analyte,protein,immobilized,antigen,enzyme,assay,immunosorbent,polyclonal,elisa,glycated,lyve,monoclonal,horseradish,reagent,immunoassay,biological,goat,aptamer,serum
conveyor,move,transport,movable,belt,movement,carriage,roller,rotate,rack,conveying,unloading,mechanism,gripper,rotates,conveyance,rail,grippers,endless,telescopic
sound,transducer,acoustic,microphone,speaker,loudspeaker,audio,headphone,hearing,canal,earphone,diaphragm,voice,audible,earpiece,noise,auditory,cavum,loud,cpts
voltage,comparator,switch,signal,circuit,output,resistor,capacitor,clock,input,reset,transistor,converter,analog,inverter,current,control,digital,amplifier,shifter
alloy,aluminum,steel,manganese,chromium,nickel,titanium,alloyed,zinc,aluminium,iron,niobium,unavoidable,ceramic,oxide,inevitable,austenite,mgzn,andrem,galvannealed
