0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
betragt,dicke,µm,folie,mpa,weniger,beschichtung,mm,laminat,polyolefin,laminats,polypropylen,polyesterfolie,gesamtdicke,faserlange,kg,kontaktwinkel,glas,harz,polyester
linse,brechkraft,linsengruppe,brennweite,objektseitigen,lpp,optisches,optischen,objektseite,negativer,weitwinkelende,bikonvexe,bildseitige,optische,aspharische,linsen,baulange,zoomobjektiv,grp,bildseite
detektor,probe,detektors,beitrages,messung,elektronen,zielstruktur,gemessenen,messen,fceo,luftbild,messpfads,frequenzkamms,messungen,driftzelle,ruckgestreute,korrelation,detektoren,bref,recheneinheit
package,chip,dielektrische,leitfahigen,leitfahige,dielektrischen,gebondet,formmasse,dies,verkapselt,kapselt,vorrichtungs,bonden,kapseln,schaltungsdies,halbleiterchips,lotregionen,koplanar,freizulegen,freilegt
methanol,katalysator,alkohol,formamid,losungsmittel,alkane,ammoniaklosung,saure,hydratisierung,alkene,katalysators,alkohole,phosphorreagenz,alkanen,dioxan,produktgemisch,methanolphase,reaktor,formel,wasserstoff
optische,optischen,optisches,lichts,lichtquelle,reflektiert,licht,reflektieren,wellenlangen,spiegel,wellenlange,emittierte,gittermedium,emittiert,lichtstrahl,polarisiertes,keilprisma,strahlengang,strahlteiler,beugungswinkel
formel,wasserstoff,halogen,formeln,alkyl,einfachbindung,alkoxy,methyl,phenyl,alkenyl,aryl,reste,cyano,bedeutung,gruppe,phenanthren,deuterium,alkylcarbamoyl,substituent,substituiert
glas,glases,cao,glaskeramik,mgo,sio,molprozentsatz,bao,li,besonders,zro,sro,na,oxidbasis,sno,lautermittel,ceo,glasartikels,tio,zno
codewort,decodieren,bit,informationsbit,codierten,transponierte,llr,bitgruppe,kodewort,decodierer,codieren,codeworts,codiert,daten,codierens,decodierung,code,syndromvektors,likelihood,referenzbasis
datenspannung,datentreiber,vdata,datenleitungen,datenleitung,subpixeln,datenumschalter,abtastperiode,dl,swt,subpixel,pixel,pixeln,sdata,spannung,rvl,ausgibt,ungeradzahligen,cst,datenspannungen
copolymer,styrol,bezogen,polypropylen,polyester,polyolefin,ethylen,gew,butadien,dien,fullstoff,copolymers,mischung,zusammensetzung,monomers,elastomer,polyethylen,polyurethan,acrylnitril,polyamid
vorformlings,kunststoff,form,harzformkorpers,verschweißt,formwerkzeug,vorformling,formwerkzeugs,entformen,schaumkern,fasergeleges,halbzeug,tiefziehen,formhohlraum,schweißnaht,mm,einsatzelement,organoblech,werkstoff,hochdrucktanks
prozessor,dienst,senden,server,schlussel,computerlesbare,adresse,verschlusselte,zugriff,hardware,warteschlange,speicher,nachricht,befehle,anweisungen,zuzugreifen,schlussels,computer,anfrage,transitorische
formel,amin,formeln,gruppe,einfachbindung,alkylgruppe,zusammensetzung,methyl,wasserstoff,wasserstoffatom,polymer,dioxan,phenyl,ausgewahlt,verzweigte,losungsmittel,zweiwertige,bedeuten,halogen,aromatische
benutzer,anzeigen,fahrer,benutzers,tragbaren,fahrzeug,fahrers,anzeige,anzuzeigen,anzeigt,fahrzeugs,mitfahrer,abholort,touchscreen,angezeigt,mobile,mobilen,situation,benutzereingabe,fahrzeuginsasse
gas,argon,ald,stickstoff,sccm,wasserstoffgas,metallvorlaufer,ticl,torr,mbar,gase,prozessgas,metalloxidfilm,plasma,pvd,sauerstoff,inertgas,reaktionsgas,prozesskammer,reaktionskammer
bild,bildes,bildern,szene,bilder,bilddaten,template,trainieren,neuronales,referenzbild,zielansicht,prozessoren,modell,tiefenkarte,video,pixel,zielbild,eingabebild,trainiert,modells
drehmoment,motor,maschine,getriebe,kupplung,elektromotor,antriebsstrang,drehzahl,drehmoments,elektromotors,hybridfahrzeug,antriebswelle,kraftmaschine,antriebsstrangs,hohlrad,getriebes,kupplungen,eingangswelle,bremse,angetrieben
bezogen,polymer,zusammensetzung,gesamtgewicht,gew,losungsmittel,copolymer,mischung,polymeren,oligomers,mischungen,pigment,meth,styrol,monomer,polyester,formel,stabilisatoren,carbonsauren,wassrigen
