0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
betragt,µm,dicke,folie,mpa,weniger,beschichtung,laminat,polyolefin,mm,polypropylen,laminats,polyesterfolie,gesamtdicke,kg,faserlange,kontaktwinkel,glas,polyester,harz
linse,brechkraft,linsengruppe,brennweite,objektseitigen,optischen,optisches,lpp,objektseite,negativer,optische,bikonvexe,weitwinkelende,bildseitige,aspharische,linsen,grp,zoomobjektiv,baulange,objektiv
detektor,probe,detektors,beitrages,elektronen,messung,messen,zielstruktur,gemessenen,ruckgestreute,fceo,detektoren,luftbild,teilchenstrahl,messpfads,frequenzkamms,ablenkfelder,driftzelle,elektrons,messungen
package,chip,dielektrische,leitfahigen,leitfahige,dielektrischen,gebondet,dies,formmasse,kapselt,verkapselt,vorrichtungs,bonden,kapseln,schaltungsdies,halbleiterchips,lotregionen,koplanar,freizulegen,freilegt
methanol,katalysator,alkohol,formamid,losungsmittel,alkane,saure,ammoniaklosung,hydratisierung,katalysators,alkene,alkohole,phosphorreagenz,alkanen,dioxan,produktgemisch,reaktor,methanolphase,formel,losung
optische,optischen,optisches,lichts,reflektieren,lichtquelle,licht,reflektiert,wellenlangen,spiegel,wellenlange,gittermedium,emittierte,emittiert,lichtstrahl,polarisiertes,keilprisma,beugungswinkel,strahlengang,strahlteiler
formel,wasserstoff,halogen,formeln,alkyl,einfachbindung,alkoxy,methyl,phenyl,alkenyl,reste,aryl,cyano,bedeutung,substituent,gruppe,phenanthren,deuterium,alkylcarbamoyl,substituiert
glas,glases,cao,glaskeramik,sio,mgo,molprozentsatz,bao,li,besonders,zro,sro,na,oxidbasis,sno,lautermittel,ceo,glasartikels,tio,zno
bit,codewort,decodieren,informationsbit,codierten,llr,kodewort,bitgruppe,codeworts,syndromvektors,code,decodierer,transponierte,codierens,fehlerkorrektur,codiert,likelihood,codieren,referenzbasis,decodierung
datenspannung,datentreiber,vdata,datenleitungen,datenleitung,datenumschalter,abtastperiode,swt,subpixeln,dl,subpixel,spannung,sdata,pixel,rvl,ausgibt,pixeln,ungeradzahligen,cst,gate
copolymer,styrol,bezogen,polypropylen,polyester,polyolefin,ethylen,gew,butadien,dien,fullstoff,copolymers,mischung,zusammensetzung,monomers,elastomer,polyurethan,polyethylen,acrylnitril,polyamid
vorformlings,kunststoff,form,harzformkorpers,verschweißt,vorformling,formwerkzeug,entformen,formwerkzeugs,fasergeleges,schaumkern,tiefziehen,halbzeug,schweißnaht,formhohlraum,mm,einsatzelement,stumpfstoß,werkstoff,fasergelege
prozessor,dienst,senden,schlussel,server,adresse,computerlesbare,zugriff,verschlusselte,hardware,warteschlange,speicher,zuzugreifen,befehle,computer,schlussels,anweisungen,nachricht,anfrage,host
formel,amin,formeln,zusammensetzung,gruppe,alkylgruppe,einfachbindung,methyl,wasserstoff,wasserstoffatom,polymer,phenyl,dioxan,ausgewahlt,verzweigte,losungsmittel,zweiwertige,bedeuten,aromatische,halogen
benutzer,fahrer,anzeigen,benutzers,fahrzeug,fahrers,tragbaren,fahrzeugs,anzuzeigen,mitfahrer,anzeige,abholort,anzeigt,situation,touchscreen,mobile,insassen,angezeigt,schildobjekt,fahrzeuginsasse
gas,argon,ald,stickstoff,sccm,wasserstoffgas,metallvorlaufer,torr,ticl,mbar,prozessgas,metalloxidfilm,gase,plasma,pvd,sauerstoff,reaktionskammer,kohlenstoff,inertgas,prozesskammer
bild,bildes,szene,bildern,template,trainieren,bilder,bilddaten,neuronales,referenzbild,prozessoren,modell,zielansicht,video,trainiert,eingabebild,tiefenkarte,zielbild,ground,modells
drehmoment,maschine,motor,getriebe,kupplung,elektromotor,antriebsstrang,drehzahl,drehmoments,elektromotors,antriebswelle,hybridfahrzeug,hohlrad,eingangswelle,bremse,kupplungen,kraftmaschine,angetrieben,antriebsstrangs,anzutreiben
bezogen,polymer,zusammensetzung,gesamtgewicht,gew,losungsmittel,copolymer,polymeren,mischung,oligomers,mischungen,meth,styrol,pigment,formel,polyester,monomer,stabilisatoren,polyol,carbonsauren
dielektrischen,dielektrische,schicht,grabens,graben,freilegt,substrat,atzen,metallschicht,atzstoppschicht,leitfahigen,atzmaske,gatespacers,planarisieren,finne,leitfahige,seitenwanden,polier,atzprozess,dummy
wobeir,reste,bedeuten,formel,worinr,abstandsgruppe,atomen,bedeutet,bedeutung,ausgewahlt,phenyl,einfachbindung,resten,geradkettigen,verzweigten,propyl,ethyl,wasserstoff,substituierter,nhr
stromt,ventil,zirkuliert,luft,kuhlmittel,pumpe,kammer,warmetauscher,druckdeckel,kuhler,wasserpumpe,ventils,vorratstank,einlass,außenluft,heizmodus,warmemedium,fluid,kuhlmodus,heizleitung
