0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
필름,점착,적층체,접착,접착제,기재,경화,박리,수지,헤이즈,지층,테이프,탄성,시트,화형,가소성,우레,피착체,화성,점도
렌즈,굴절,초점거리,광학,조건식,촬상면,주밍,광축,아베,물체,사동,변곡점,조리개,화각,광각,순서대로,촛점거리,망원렌즈,비구,거리
측정,검출기,변동,분포,방사선,리소그래피,보정,풀이,조명하,오차,시뮬레이션,함수,타겟,특성,포커스,추정,에어리얼,수차,결함,스펙트럼
비아,패키지,반도체,조물,이의,유전체,패드,전도성,더필,포저,재배,범프,선층,본딩되,상호,도전,관통,기적,노출,구조체
촉매,수득,첨가,혼합물,반응,톨루엔,증류,메탄올,에탄올,염기,응기,환류,아세톤,용매,아세트산,수산화나트륨,루이스,메틸화제,프로판올,가복
반사,입사,광원,출사,지향,파장,사면,광학,전반사,전파,투과,미러,도광,방출,편광,조명,레이저,프리즘,입사각,광축
비치,아릴기,고리,환기,중수소,화학식,독립,아릴,헤테로고리,할로겐,테로,탄소,알킬기,원자,헤테로아릴렌기,치환,기이,환의,단일결합,시아노기
유리,액상선,제품,실리케이트,응력,강화,열처리,알칼리,미만,세라믹,결정화,용융,대립,청징,영률,크리스토발라이트,페탈,실온,톱면,헤이즈
디코딩,인코딩,코딩,디코더,인코더,비트스트림,비디오,블록,신택스,코드,인덱스,픽처,양자화,시그널,인트,플래그,비트,패리,시퀀스,워드
전압,타이밍,신호,동부,구동,구간,레벨,휘도,드라이버,픽셀,출력,데이터,게이트,기간,화소,트랜지스터,패널,보상,자연수,클럭
중합체,폴리프로필렌,올레,가소성,분자량,중량,폴리아미드,스티렌,폴리,에틸렌,폴리에틸렌,폴리에스테르,블렌드,폴리우레탄,스토,폴리스티렌,엘라,점도,수지,부타디엔
가압,용융,성형,용접,가공,연화,선단,가열,공정은,단면,구멍,노즐,형상,표면,공정,재료,외주,직경,실린더,부품
요청,액세스,명령어,실행,어드레스,패킷,컴퓨터,네트워크,서비스,업데이트,암호,애플리케이션,저장,메시지,프로그램,송신,전송,명령,식별자,서버
일반,가의,기이,단결합,탄소,알킬렌기,알킬기,탄화수소,메틸렌기,메틸기,환기,정수,감광,히드록시기,수산기,자수,지환,원자,원자로,하이드록시기
사용자,차량,운전자,감지,화면,판단,상황,단말기,인식,알림,출하,실행,여부,명령,확인,메뉴,조작,정보,이벤트,프로세서
가스,증착,플라즈마,아르곤,에칭,공정은,퇴적,분위기,불활,실리콘,희가스,챔버,유량,구체,퍼징,챔버로,헬륨,디보란,일산화질소,어닐하
이미지,모델,획득,객체,식별,알고리즘,컴퓨터,추출,확률,계산,워핑하,결정,정답,가중,결과,추정,정보,차원,벡터,프로세서
모터,변속기,클러치,동력,토크,변속,제동,하이브리드,감속,엔진,차량,시동,락업,어비,전동기,제동장치,유성기,차속,인터벤션량,페달
단량체,폴리올,화제,관능,중량,가교,조성,교제,모노,아크릴,분자량,에폭시,중합체,중합,에테르,첨가제,폴리,혼합물,소시,폴리우레탄
반도체,유전체,조물,트렌치,스택,드레,리세,측벽,리세스,구조체,도핑,비아,측벽들,노출,택셜,도전,에피텍셜층,도펀트들,패터닝하,배리
학적,치료,약제학,부형제,질환,허용,유효량,약물,예방,투여,장애,입체이성질체,제약,염증,호변,의약,자가면역,이성질체,메톡시,시클로프
배기,연통,가스,출구,노즐,밸브,입구,실의,챔버,배출,유로,구로,유량,공기,공급,개방,압력,상류,실과,유입
부재,돌출,커버,장착,지지,고정,일체,몸체,체결,외측,연장,삽입,가이드,절곡,본체,케이스,돌기,안착,단부,측면
커넥터,스프링,삽입,단부,플러그,케이블,결부,돌출,본체,연장,리셉터,고정,접촉,수용,선단,단판,도체,돌기,부가,감합
마주,패널,중첩,이격된,디스플레이,커버,후면,플렉서블,액정,도광,영역,곡면,배치,전면,가장자리,백라이트,외곽,절연,일면,전극
항체,특이,단백질,항원,면역,혈청,생물학,림프액,분석,펩타이드,틸스페르,혈장,출항,알부민,비오틴,대조군,표지,시약,래터럴,비딘
이동,컨베이어,반송,이송,송원,승강,롤러,지지,벨트,기구,회전,설치,적재,수용,물품,대차,하방,스테이션,보관,상방
스피커,사운드,진동,오디오,소리,마이크로폰,이어폰,음향,마이크,음압,음파,음공,이도,저음,음질,누음,고막,수음,청취,라우드스
전압,스위치,전류,회로,신호,스위칭,트랜지스터,출력,커패시터,아날로그,비교,컨버터,증폭기,레벨,캐패시터,직렬,단자,인버터,저항,드라이버
합금,산화물,알루미늄,티타늄,강판,아연,몰리브덴,니오븀,코팅,금속,산화,니켈,탄화,분말,원소,산동,도금,바나듐,욕용,시불
