0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
필름,점착,적층체,접착,접착제,기재,경화,박리,헤이즈,수지,테이프,지층,탄성,시트,화형,우레,피착체,가소성,점도,화성
렌즈,굴절,초점거리,광학,조건식,촬상면,주밍,광축,아베,물체,사동,변곡점,조리개,광각,촛점거리,화각,순서대로,망원렌즈,비구,거리
검출기,측정,방사선,분포,변동,리소그래피,조명하,풀이,보정,시뮬레이션,오차,타겟,포커스,특성,함수,에어리얼,수차,영향,변화,추정
비아,패키지,반도체,조물,이의,패드,유전체,더필,재배,전도성,포저,범프,선층,상호,본딩되,기적,도전,관통,노출,구조체
촉매,수득,첨가,혼합물,반응,톨루엔,에탄올,메탄올,증류,염기,응기,환류,아세톤,용매,아세트산,수산화나트륨,루이스,프로판올,메틸화제,가복
반사,입사,광원,출사,지향,광학,전반사,사면,파장,전파,투과,도광,미러,편광,방출,프리즘,조명,입사각,광축,레이저
비치,아릴기,고리,환기,중수소,화학식,독립,아릴,헤테로고리,할로겐,테로,탄소,알킬기,원자,헤테로아릴렌기,치환,기이,환의,정수,시아노기
유리,액상선,제품,실리케이트,응력,강화,알칼리,열처리,미만,세라믹,결정화,대립,영률,헤이즈,페탈,용융,청징,크리스토발라이트,톱면,두께
디코딩,인코딩,코딩,디코더,인코더,코드,블록,비트,비트스트림,패리,인덱스,양자화,신택스,픽처,비디오,시퀀스,시그널,워드,인트,플래그
전압,타이밍,신호,동부,구동,구간,레벨,드라이버,휘도,출력,픽셀,게이트,데이터,트랜지스터,기간,화소,스위칭,패널,클럭,보상
중합체,폴리프로필렌,가소성,올레,분자량,중량,폴리아미드,스티렌,폴리,에틸렌,폴리에틸렌,폴리에스테르,블렌드,스토,폴리우레탄,폴리스티렌,엘라,점도,수지,부타디엔
가압,용융,성형,용접,가공,연화,선단,공정은,가열,노즐,구멍,단면,형상,공정,외주,표면,가재,직경,불어,부품
요청,액세스,명령어,실행,어드레스,패킷,컴퓨터,네트워크,업데이트,암호,서비스,저장,프로그램,메시지,애플리케이션,송신,명령,전송,식별자,연관
일반,가의,기이,단결합,탄소,알킬렌기,알킬기,탄화수소,메틸렌기,정수,메틸기,감광,환기,히드록시기,수산기,자수,지환,원자,원자로,하이드록시기
사용자,차량,운전자,감지,상황,판단,출하,실행,알림,인식,화면,탑승,여부,단말기,명령,경고,확인,정차,조작,중인
가스,증착,플라즈마,아르곤,에칭,퇴적,공정은,분위기,불활,희가스,실리콘,챔버,유량,구체,챔버로,퍼징,디보란,헬륨,일산화질소,어닐하
이미지,모델,획득,객체,식별,컴퓨터,알고리즘,확률,추출,계산,정답,결정,워핑하,가중,추정,정보,결과,벡터,프로세서,비일
모터,변속기,동력,클러치,토크,변속,제동,감속,하이브리드,차량,엔진,시동,어비,유성기,전동기,제동장치,기어,락업,인터벤션량,선기
단량체,폴리올,화제,관능,중량,가교,조성,모노,교제,아크릴,분자량,중합체,중합,에폭시,에테르,폴리,첨가제,소시,혼합물,폴리우레탄
반도체,유전체,조물,트렌치,스택,드레,측벽,구조체,리세스,비아,리세,도핑,측벽들,노출,도전,패터닝하,택셜,도펀트들,배리,시베이
학적,치료,약제학,부형제,질환,허용,유효량,약물,예방,투여,장애,입체이성질체,제약,호변,염증,의약,자가면역,이성질체,메톡시,시클로프
배기,연통,가스,출구,노즐,밸브,챔버,입구,실의,배출,유로,구로,유량,공기,공급,압력,개방,상류,실과,유입
돌출,부재,커버,장착,지지,고정,체결,몸체,외측,연장,일체,절곡,삽입,가이드,본체,케이스,돌기,안착,단부,결부
커넥터,스프링,삽입,단부,플러그,케이블,결부,돌출,본체,연장,리셉터,고정,접촉,수용,도체,단판,선단,돌기,둘레,클램핑
마주,패널,중첩,이격된,후면,디스플레이,커버,플렉서블,도광,전면,백라이트,영역,곡면,배치,일면,가장자리,절연,액정,외곽,접착
항체,특이,단백질,항원,면역,혈청,생물학,림프액,분석,펩타이드,비오틴,틸스페르,알부민,출항,표지,혈장,시약,대조군,비딘,키트
이동,컨베이어,반송,이송,송원,승강,롤러,벨트,지지,기구,적재,회전,물품,대차,설치,수용,보관,스테이션,하방,상방
스피커,사운드,진동,오디오,소리,마이크로폰,음향,이어폰,마이크,음압,음파,음공,이도,저음,음질,누음,고막,수음,청취,보이스
전압,스위치,전류,회로,신호,스위칭,트랜지스터,출력,커패시터,비교,아날로그,증폭기,컨버터,레벨,캐패시터,직렬,인버터,단자,저항,드라이버
합금,산화물,알루미늄,강판,아연,티타늄,몰리브덴,니오븀,코팅,금속,탄화,니켈,산화,원소,분말,도금,산동,욕용,어닐링,바나듐
